,Symbol,Win%,ExpectedValue,TotalEvents,PnL
73,BXP,0.36,-0.71,42,-29.95
74,BSX,0.5,0.28,34,9.35
75,BMY,0.51,0.07,49,3.53
76,AVGO,0.7,3.75,33,123.59
77,BR,0.66,0.99,44,43.72
78,BF-B,0.54,0.3,50,14.98
79,CHRW,0.71,0.86,41,35.31
80,COG,0.56,0.24,39,9.51
81,CDNS,0.64,1.38,42,57.89
82,CPB,0.51,0.08,35,2.7
83,COF,0.47,0.15,34,5.02
84,CAH,0.43,0.13,46,5.98
85,KMX,0.44,0.41,41,16.94
86,CCL,0.45,-0.02,40,-0.82
87,CARR,0.51,0.33,35,11.64
88,CTLT,0.51,0.4,45,18.22
89,CAT,0.59,0.82,37,30.37
90,CBOE,0.43,-0.03,44,-1.51
91,CBRE,0.41,0.01,37,0.33
92,CDW,0.5,0.37,38,13.94
93,CE,0.5,0.23,42,9.53
94,CNC,0.37,-0.2,41,-8.34
95,CNP,0.55,0.2,44,8.6
96,CERN,0.47,-0.06,49,-2.85
97,CF,0.54,0.42,48,20.2
98,SCHW,0.65,0.47,48,22.45
99,CHTR,0.62,4.79,39,186.72
100,CVX,0.4,-0.28,45,-12.52
101,CMG,0.59,10.1,37,373.57
102,CB,0.54,1.26,46,57.94
103,CHD,0.43,-0.0,49,-0.06
104,CI,0.51,0.34,41,13.84
105,CINF,0.54,0.4,48,19.07
106,CTAS,0.51,2.02,41,82.89
107,CSCO,0.56,0.03,43,1.47
108,C,0.63,0.32,46,14.63
109,CFG,0.51,0.02,41,0.89
110,CTXS,0.51,0.93,41,38.27
111,CLX,0.54,0.49,37,18.16
112,CME,0.67,2.64,48,126.49
113,CMS,0.43,-0.41,44,-18.02
114,KO,0.45,0.01,42,0.48
115,CTSH,0.54,0.33,46,15.11
116,CL,0.43,-0.06,47,-2.91
117,CMCSA,0.54,0.22,41,8.94
118,CMA,0.55,0.75,44,33.2
119,CAG,0.55,0.06,40,2.36
120,COP,0.45,0.02,38,0.77
121,ED,0.4,0.25,40,9.92
122,STZ,0.32,-1.0,37,-37.13
123,COO,0.51,0.83,45,37.39
124,CPRT,0.48,-0.2,42,-8.43
125,GLW,0.53,0.19,43,8.05
126,CTVA,0.53,0.12,45,5.45
127,COST,0.49,-0.41,41,-16.69
128,CCI,0.37,-0.51,43,-21.79
129,CSX,0.52,0.35,44,15.3
130,CMI,0.62,1.52,48,73.12
131,CVS,0.45,0.04,40,1.47
132,DHI,0.57,0.43,37,15.99
133,DHR,0.52,0.06,46,2.9
134,DRI,0.5,0.31,38,11.61
135,DVA,0.39,-0.77,44,-34.02
136,DE,0.64,1.64,45,73.83
137,DAL,0.57,0.41,37,15.33
138,XRAY,0.43,-0.12,42,-5.05
139,DVN,0.58,0.23,38,8.88
140,DXCM,0.57,1.78,37,65.72
141,FANG,0.42,-0.17,45,-7.53
142,DLR,0.4,-0.62,47,-29.23
143,DFS,0.47,0.57,40,22.92
144,DISCA,0.56,0.09,39,3.4
145,DISCK,0.5,0.0,36,0.03
146,DISH,0.28,-0.25,32,-8.12
147,DG,0.51,0.68,45,30.77
148,DLTR,0.44,0.2,43,8.76
149,D,0.55,0.75,40,29.98
150,DPZ,0.5,1.82,42,76.62
151,DOV,0.58,0.76,48,36.4
152,DOW,0.5,0.28,42,11.9
153,DTE,0.68,1.47,38,55.91
154,DUK,0.57,0.64,46,29.34
155,DRE,0.47,0.14,38,5.33
156,DD,0.49,-0.05,41,-2.01
157,DXC,0.57,0.18,42,7.37
158,EMN,0.51,0.5,35,17.39
159,ETN,0.58,0.8,48,38.42
160,EBAY,0.4,-0.32,35,-11.04
161,ECL,0.53,0.27,45,12.01
162,EIX,0.57,0.33,40,13.35
163,EW,0.39,-0.25,41,-10.42
164,EA,0.67,1.76,45,79.12
165,EMR,0.49,0.44,45,19.9
166,ENPH,0.68,2.92,38,111.08
167,ETR,0.43,-0.43,44,-19.05
168,EOG,0.41,-0.07,39,-2.85
169,EFX,0.4,-0.57,40,-22.95
170,EQIX,0.4,-2.3,47,-108.28
171,EQR,0.49,0.11,37,4.14
172,ESS,0.48,0.89,42,37.18
173,EL,0.54,0.43,48,20.76
174,ETSY,0.42,0.34,36,12.25
175,EVRG,0.6,0.25,48,11.88
176,ES,0.36,-0.49,45,-21.9
177,RE,0.44,1.72,45,77.41
178,EXC,0.52,0.14,52,7.13
179,EXPE,0.59,0.51,44,22.25
180,EXPD,0.59,0.39,46,17.86
181,EXR,0.69,1.14,35,39.83
182,XOM,0.47,0.37,40,14.71
183,FFIV,0.6,0.84,35,29.27
184,FB,0.6,1.0,43,42.9
185,FAST,0.58,0.23,50,11.64
186,FRT,0.51,-0.15,43,-6.27
187,FDX,0.59,1.29,49,63.42
188,FIS,0.4,-0.02,42,-0.81
189,FITB,0.56,0.17,45,7.54
190,FE,0.55,-0.09,44,-3.89
191,FRC,0.42,0.55,36,19.67
192,FISV,0.48,0.45,42,18.78
193,FLT,0.49,1.25,45,56.08
194,FLIR,0.45,-0.09,49,-4.19
195,FLS,0.52,0.12,42,5.13
196,FMC,0.47,-0.32,43,-13.8
197,F,0.49,0.05,41,2.18
198,FTNT,0.66,1.14,38,43.13
199,FTV,0.44,0.04,48,2.06
200,FBHS,0.56,0.18,43,7.7
201,FOXA,0.6,0.47,43,20.17
202,FOX,0.57,0.36,47,17.09
203,BEN,0.59,0.12,51,6.12
204,FCX,0.6,0.17,42,6.93
205,GPS,0.49,0.11,37,4.21
206,GRMN,0.54,0.1,37,3.6
207,IT,0.43,0.01,44,0.58
208,GD,0.46,0.19,50,9.73
209,GE,0.5,0.06,42,2.36
210,GIS,0.33,-0.42,36,-15.12
211,GM,0.32,-0.11,34,-3.66
212,GPC,0.56,0.22,34,7.51
213,GILD,0.41,0.42,39,16.42
214,GL,0.46,0.17,48,8.06
215,GPN,0.56,1.6,43,68.6
216,GS,0.55,1.49,42,62.78
217,GWW,0.48,0.95,42,40.09
218,HAL,0.5,0.07,42,2.89
219,HBI,0.53,0.03,51,1.62
220,HIG,0.53,0.23,47,10.65
221,HAS,0.51,0.24,47,11.19
222,HCA,0.49,0.49,41,20.1
223,PEAK,0.42,-0.22,36,-7.86
224,HSIC,0.38,-0.45,40,-18.04
225,HSY,0.36,-1.0,42,-41.94
226,HES,0.6,0.88,45,39.53
227,HPE,0.5,-0.01,42,-0.29
228,HLT,0.31,-0.57,42,-24.06
229,HFC,0.41,0.21,41,8.5
230,HOLX,0.52,0.18,44,8.12
231,HD,0.6,1.26,40,50.46
232,HON,0.6,0.48,48,23.28
233,HRL,0.38,-0.2,42,-8.39
234,HST,0.36,-0.11,44,-4.83
235,HWM,0.53,-0.08,38,-3.12
236,HPQ,0.49,-0.06,43,-2.77
237,HUM,0.44,0.79,43,34.1
238,HBAN,0.49,0.01,41,0.55
239,HII,0.36,-1.35,39,-52.7
240,IEX,0.67,1.49,42,62.56
241,IDXX,0.68,4.47,40,178.96
242,INFO,0.57,0.42,42,17.62
243,ITW,0.52,0.85,52,44.05
244,ILMN,0.62,2.66,47,124.98
245,INCY,0.41,-0.1,39,-4.03
246,IR,0.53,0.18,43,7.69
247,INTC,0.54,0.06,35,2.27
248,ICE,0.62,0.73,42,30.5
249,IBM,0.53,0.82,49,40.13
250,IP,0.6,0.37,43,16.04
251,IPG,0.49,-0.01,37,-0.38
252,IFF,0.39,-1.01,51,-51.66
253,INTU,0.6,3.16,48,151.71
254,ISRG,0.59,4.63,44,203.8
255,IVZ,0.45,-0.04,47,-1.73
256,IPGP,0.53,0.76,43,32.56
257,IQV,0.51,1.14,39,44.46
258,IRM,0.38,-0.32,40,-12.62
259,JKHY,0.44,-0.87,45,-39.22
260,J,0.53,0.41,43,17.77
261,JBHT,0.53,0.24,47,11.33
262,SJM,0.51,-0.02,45,-0.89
263,JNJ,0.51,0.11,53,5.71
264,JCI,0.51,0.16,45,7.28
265,JPM,0.45,0.29,49,14.24
266,JNPR,0.69,0.24,42,10.18
267,KSU,0.54,2.06,37,76.05
268,K,0.45,-0.12,38,-4.66
269,KEY,0.65,0.21,46,9.78
270,KEYS,0.56,0.33,45,14.66
271,KMB,0.52,0.41,46,18.98
272,KIM,0.47,0.04,40,1.74
273,KMI,0.41,0.04,44,1.73
274,KLAC,0.63,1.82,46,83.55
275,KHC,0.6,0.07,47,3.44
276,KR,0.49,0.01,45,0.52
277,LB,0.55,0.38,40,15.12
278,LHX,0.45,-0.4,42,-16.76
279,LH,0.6,0.7,43,30.15
280,LRCX,0.61,4.01,41,164.29
281,LW,0.56,0.56,45,25.08
282,LVS,0.4,-0.18,42,-7.4
283,LEG,0.52,0.23,50,11.28
284,LDOS,0.6,0.71,43,30.64
285,LEN,0.64,1.04,42,43.51
286,LLY,0.5,0.62,40,24.67
287,LNC,0.46,-0.16,46,-7.22
288,LIN,0.47,0.25,43,10.63
289,LYV,0.54,0.39,41,16.04
290,LKQ,0.58,0.43,43,18.48
291,LMT,0.31,-2.85,45,-128.03
292,L,0.5,-0.31,40,-12.35
293,LOW,0.46,-1.15,37,-42.5
294,LUMN,0.55,0.06,40,2.56
295,LYB,0.54,0.61,39,23.92
296,MTB,0.5,0.97,48,46.61
297,MRO,0.53,0.09,47,4.24
298,MPC,0.55,0.44,40,17.6
299,MKTX,0.4,-0.68,45,-30.65
300,MAR,0.41,0.01,46,0.38
301,MMC,0.55,0.26,42,10.84
302,MLM,0.51,0.37,43,15.74
303,MAS,0.38,-0.33,42,-13.92
304,MA,0.41,-0.14,41,-5.93
305,MKC,0.57,0.2,49,9.83
306,MXIM,0.59,0.33,44,14.37
307,MCD,0.57,0.89,40,35.47
308,MCK,0.56,1.55,39,60.62
309,MDT,0.6,0.9,45,40.36
310,MRK,0.45,-0.06,44,-2.75
311,MET,0.49,-0.0,41,-0.09
312,MTD,0.47,2.62,36,94.29
313,MGM,0.54,0.07,41,3.02
314,MCHP,0.6,1.59,42,66.93
315,MU,0.66,0.76,38,28.92
316,MSFT,0.61,1.51,49,74.14
317,MAA,0.5,0.14,42,5.84
318,MHK,0.45,-0.37,29,-10.86
319,TAP,0.31,-0.48,35,-16.72
320,MDLZ,0.49,-0.18,43,-7.88
321,MPWR,0.55,3.31,40,132.2
322,MNST,0.56,0.28,34,9.61
323,MCO,0.51,0.37,47,17.57
324,MS,0.58,0.3,43,13.02
325,MOS,0.59,0.25,51,12.73
326,MSI,0.49,0.26,47,12.35
327,MSCI,0.68,6.31,44,277.81
328,NDAQ,0.58,0.22,31,6.69
329,NTAP,0.45,0.0,47,0.16
330,NFLX,0.57,5.59,42,234.71
331,NWL,0.5,-0.05,40,-2.13
332,NEM,0.48,0.31,42,13.03
333,NWSA,0.42,0.01,43,0.47
334,NWS,0.41,-0.09,41,-3.87
335,NEE,0.54,0.31,48,14.68
336,NLSN,0.41,-0.04,37,-1.65
337,NKE,0.59,0.36,41,14.73
338,NI,0.62,0.13,45,5.74
339,NSC,0.53,1.24,36,44.79
340,NTRS,0.54,0.52,48,24.74
341,NOC,0.43,-0.63,49,-31.09
342,NLOK,0.56,0.14,45,6.24
343,NCLH,0.39,0.05,38,1.8
344,NOV,0.57,0.23,40,9.27
345,NRG,0.55,0.14,42,6.07
346,NUE,0.58,0.38,36,13.5
347,NVDA,0.63,7.73,35,270.72
348,NVR,0.42,8.1,43,348.23
349,ORLY,0.41,-0.84,32,-26.91
350,OXY,0.38,-0.08,42,-3.18
351,ODFL,0.66,2.22,41,90.85
352,OMC,0.45,-0.02,47,-0.9
353,OKE,0.51,0.18,43,7.76
354,ORCL,0.31,-0.32,39,-12.45
355,OTIS,0.51,0.11,49,5.45
356,PCAR,0.53,0.02,38,0.82
357,PKG,0.39,-0.4,46,-18.63
358,PH,0.56,1.57,45,70.58
359,PAYX,0.51,0.33,39,12.96
360,PAYC,0.56,1.83,45,82.16
361,PYPL,0.58,0.61,43,26.19
362,PNR,0.7,0.52,46,24.07
363,PBCT,0.45,0.06,40,2.47
364,PEP,0.58,0.49,52,25.42
365,PKI,0.61,1.04,33,34.35
366,PRGO,0.56,0.19,45,8.38
367,PFE,0.61,0.22,44,9.83
368,PM,0.51,-0.06,47,-2.95
369,PSX,0.46,0.87,37,32.07
370,PNW,0.42,-0.41,45,-18.27
371,PXD,0.51,0.78,47,36.83
372,PNC,0.69,1.74,36,62.75
373,POOL,0.59,3.77,39,146.89
374,PPG,0.48,0.15,42,6.12
375,PPL,0.48,0.08,44,3.66
376,PFG,0.49,0.18,43,7.87
377,PG,0.52,-0.03,46,-1.18
378,PGR,0.53,0.32,43,13.74
379,PLD,0.48,0.08,50,4.03
380,PRU,0.6,0.48,53,25.26
381,PEG,0.47,-0.1,43,-4.12
382,PSA,0.56,1.11,36,39.93
383,PHM,0.43,0.07,37,2.45
384,PVH,0.36,-0.79,36,-28.62
385,QRVO,0.54,1.21,46,55.58
386,PWR,0.61,0.61,38,23.33
387,QCOM,0.6,0.33,43,14.08
388,DGX,0.58,0.3,43,12.95
389,RL,0.46,0.47,39,18.17
390,RJF,0.56,0.49,48,23.47
391,RTX,0.37,-0.18,43,-7.7
392,O,0.42,-0.28,36,-10.2
393,REG,0.36,-0.67,44,-29.7
394,REGN,0.38,0.5,47,23.36
395,RF,0.57,0.22,42,9.07
396,RSG,0.41,0.0,44,0.1
397,RMD,0.45,0.0,47,0.15
398,RHI,0.5,0.5,38,18.97
399,ROK,0.47,-0.43,45,-19.23
400,ROL,0.61,0.28,38,10.82
401,ROP,0.58,2.14,45,96.51
402,ROST,0.51,0.61,39,23.85
403,RCL,0.44,-0.53,41,-21.55
404,SPGI,0.59,0.38,41,15.78
405,CRM,0.59,1.3,37,47.94
406,SBAC,0.39,-0.3,44,-13.03
407,SLB,0.38,-0.22,39,-8.72
408,STX,0.65,0.58,43,25.1
409,SEE,0.4,-0.06,43,-2.37
410,SRE,0.42,-0.21,43,-8.92
411,NOW,0.65,4.59,48,220.22
412,SHW,0.6,3.43,45,154.4
413,SPG,0.32,-0.61,37,-22.41
414,SWKS,0.52,1.08,44,47.46
415,SLG,0.37,-0.63,43,-26.99
416,SNA,0.46,-0.3,41,-12.35
417,SO,0.54,-0.03,41,-1.28
418,LUV,0.52,-0.15,44,-6.7
419,SWK,0.56,0.57,48,27.27
420,SBUX,0.62,0.58,47,27.03
421,STT,0.54,0.46,46,21.1
422,STE,0.48,-0.02,50,-1.23
423,SYK,0.51,1.52,37,56.18
424,SIVB,0.52,2.22,44,97.71
425,SYF,0.42,-0.01,38,-0.53
426,SNPS,0.62,1.87,39,72.86
427,SYY,0.58,0.85,45,38.11
428,TMUS,0.62,1.48,47,69.75
429,TROW,0.56,0.79,36,28.31
430,TTWO,0.55,0.56,38,21.31
431,TPR,0.47,-0.03,45,-1.46
432,TGT,0.55,0.75,38,28.38
433,TEL,0.49,-0.04,37,-1.58
434,TDY,0.42,-1.89,45,-84.9
435,TFX,0.73,3.92,41,160.87
436,TER,0.72,1.25,39,48.92
437,TSLA,0.6,4.36,35,152.66
438,TXN,0.63,1.52,38,57.92
439,TXT,0.57,0.16,42,6.62
440,TMO,0.6,1.15,40,45.84
441,TJX,0.41,0.01,51,0.46
442,TSCO,0.49,0.01,37,0.26
443,TT,0.39,-0.27,38,-10.21
444,TDG,0.41,-4.34,37,-160.64
445,TRV,0.48,-0.16,42,-6.62
446,TRMB,0.57,0.2,42,8.4
447,TFC,0.54,0.18,46,8.06
448,TWTR,0.57,0.37,49,18.35
449,TYL,0.62,4.34,48,208.51
450,TSN,0.47,0.09,38,3.44
451,UDR,0.51,0.01,37,0.47
452,ULTA,0.57,1.59,46,73.01
453,USB,0.51,0.25,45,11.09
454,UAA,0.51,0.06,45,2.58
455,UA,0.59,0.14,46,6.25
456,UNP,0.52,0.73,46,33.38
457,UAL,0.4,-0.16,40,-6.41
458,UNH,0.49,-0.13,49,-6.55
459,UPS,0.67,1.78,45,80.19
460,URI,0.51,1.25,43,53.84
461,UHS,0.52,0.49,50,24.66
462,UNM,0.51,0.21,49,10.21
463,VLO,0.53,0.89,43,38.24
464,VAR,0.49,0.32,39,12.64
465,VTR,0.37,-0.28,35,-9.8
466,VRSN,0.52,-0.09,50,-4.44
467,VRSK,0.49,0.11,37,4.15
468,VZ,0.55,0.19,42,8.15
469,VRTX,0.66,2.51,41,102.83
470,VFC,0.4,-0.57,50,-28.65
471,VIAC,0.56,0.53,32,17.08
472,VTRS,0.49,0.03,41,1.25
473,V,0.53,1.24,51,63.3
474,VNT,0.47,-0.06,17,-0.96
475,VNO,0.32,-0.26,34,-8.77
476,VMC,0.48,0.37,48,17.53
477,WRB,0.43,-0.09,46,-3.95
478,WAB,0.31,-0.81,42,-33.99
479,WMT,0.38,0.23,42,9.63
480,WBA,0.5,0.06,40,2.34
481,DIS,0.44,0.59,48,28.13
482,WM,0.49,0.02,47,0.79
483,WAT,0.64,1.0,45,44.99
484,WEC,0.45,-0.19,42,-7.98
485,WFC,0.55,0.27,47,12.5
486,WELL,0.37,-0.33,41,-13.34
487,WST,0.5,0.95,44,41.61
488,WDC,0.5,0.03,44,1.44
489,WU,0.52,0.24,44,10.58
490,WRK,0.44,0.1,45,4.46
491,WY,0.55,-0.04,44,-1.62
492,WHR,0.53,0.68,38,25.68
493,WMB,0.56,0.18,50,9.18
494,WLTW,0.46,1.35,41,55.18
495,WYNN,0.51,0.13,37,4.82
496,XEL,0.45,-0.41,38,-15.7
497,XRX,0.44,0.06,50,2.88
498,XLNX,0.55,1.08,42,45.4
499,XYL,0.55,0.22,47,10.35
500,YUM,0.54,0.83,39,32.49
501,ZBRA,0.49,0.93,43,40.06
502,ZBH,0.64,1.86,44,82.01
503,ZION,0.56,0.48,41,19.87
504,ZTS,0.48,0.1,46,4.39
